from,to,year,tidligere_kommunenavn
130,102,1839,Tune
130,130,1839,Tune
130,114,1861,Tune
130,130,1861,Tune
130,120,1902,Rødenes
120,121,1902,Rødenes
118,118,1908,Aremark
118,119,1908,Aremark
113,112,1910,Borge
113,113,1910,Borge
132,132,1908,Glemmen
132,133,1908,Glemmen
130,130,1911,Tune
130,131,1911,Tune
128,128,1917,Rakkestad
128,129,1917,Rakkestad
125,125,1920,Eidsberg
125,126,1920,Eidsberg
104,104,1943,Moss
194,104,1943,Jeløy
125,125,1961,Eidsberg
126,125,1961,Mysen
103,103,1964,Fredrikstad
112,103,1964,Torsnes
113,103,1964,Borge
132,103,1964,Glemmen
112,113,1964,Torsnes
113,113,1964,Borge
119,119,1964,Øymark
120,119,1964,Rødenes
128,128,1964,Rakkestad
129,128,1964,Degernes
101,101,1967,Halden
116,101,1967,Berg
117,101,1967,Idd
102,105,1992,Sarpsborg
114,105,1992,Varteig
115,105,1992,Skjeberg
130,105,1992,Tune
103,106,1994,Fredrikstad
113,106,1994,Borge
131,106,1994,Rolvsøy
133,106,1994,Kråkerøy
134,106,1994,Onsøy
201,201,1847,Son/Hølen
201,204,1847,Son/Hølen
239,239,1870,Hurdal
239,240,1870,Hurdal
221,221,1905,Høland
221,223,1905,Høland
231,230,1908,Skedsmo
231,231,1908,Skedsmo
231,232,1908,Skedsmo
216,216,1915,Nesodden
216,217,1915,Nesodden
224,224,1919,Aurskog
224,225,1919,Aurskog
221,221,1924,Høland
221,222,1924,Høland
227,227,1929,Fet
227,228,1929,Fet
212,212,1931,Kråkstad
212,213,1931,Kråkstad
204,211,1943,Hølen
211,211,1943,Vestby
218,301,1948,Aker
301,301,1948,Oslo
203,215,1962,Drøbak
215,215,1962,Frogn
,226,1962,Blaker
226,226,1962,Sørum
231,231,1962,Skedsmo
232,231,1962,Lillestrøm
201,211,1964,Son
211,211,1964,Vestby
212,213,1964,Kråkstad
213,213,1964,Ski
237,237,1964,Eidsvoll
240,237,1964,Feiring
221,221,1966,Søndre Høland
222,221,1966,Nordre Høland
223,221,1966,Setskog
224,221,1966,Aurskog
301,301,1925,Kristiania
414,401,1848,Vang
414,414,1848,Vang
424,424,1849,Hof
424,425,1849,Hof
425,425,1854,Åsnes og Våler
425,426,1854,Åsnes og Våler
421,402,1855,Vinger
421,421,1855,Vinger
421,420,1864,Vinger
421,421,1864,Vinger
437,437,1864,Tynset
437,438,1864,Tynset
423,423,1867,Grue
423,422,1867,Grue
432,432,1880,Rendal
432,433,1880,Rendal
414,413,1891,Vang
414,414,1891,Vang
438,438,1914,Alvdal
438,439,1914,Alvdal
436,435,1926,Tolga
436,436,1926,Tolga
435,436,1976,Tolga-Os
435,441,1976,Tolga-Os
424,425,1963,Hof
425,425,1963,Åsnes
411,412,1964,Nes
412,412,1964,Ringsaker
413,412,1964,Furnes
414,412,1964,Vang
416,417,1964,Romedal
417,417,1964,Stange
402,421,1964,Kongsvinger
421,421,1964,Vinger
422,421,1964,Brandvall
430,430,1965,Stor-Elvdal
431,430,1965,Sollia
432,432,1965,Ytre Rendal
433,432,1965,Øvre Rendal
435,435,1966,Os
436,435,1966,Tolga
401,403,3360,Hamar
414,403,3360,Vang
412,403,3360,Ringsaker
,434,1911,
421,402,1965,Kongsvinger
536,536,1847,Land
536,538,1847,Land
543,543,1849,Slidre
543,544,1849,Slidre
518,518,1851,Fron
518,519,1851,Fron
527,502,1861,Vardal
527,527,1861,Vardal
512,511,1863,Lesja
512,512,1863,Lesja
520,520,1864,Ringebu
520,580,1864,Ringebu
514,513,1866,Lom
514,514,1866,Lom
522,522,1879,Gausdal
522,523,1879,Gausdal
534,534,1897,Gran
534,535,1897,Gran
532,532,1898,Jevnaker
532,533,1898,Jevnaker
515,515,1908,Vågå
515,516,1908,Vågå
515,517,1908,Vågå
529,529,1908,Vestre Toten
529,530,1908,Vestre Toten
529,531,1908,Vestre Toten
525,525,1910,Biri
525,526,1910,Biri
536,536,1914,Søndre Land
536,537,1914,Søndre Land
538,538,1914,Nordre Land
538,539,1914,Nordre Land
518,516,1977,Fron
518,519,1977,Fron
522,522,1962,Østre Gausdal
523,522,1962,Vestre Gausdal
534,534,1962,Gran(unntatt Furulund krets)
535,534,1962,Brandbu
536,536,1962,Søndre Land
537,536,1962,Fluberg(Tranlia krets og eiendommen Store Røen
538,538,1962,Nordre Land
539,538,1962,Torpa
501,501,1964,Lillehammer
524,501,1964,Fåberg
502,502,1964,Gjøvik
525,502,1964,Biri
526,502,1964,Snertingdal
527,502,1964,Vardal(unntatt Sørligrenda)
528,528,1964,Østre Toten
531,528,1964,Kolbu
527,529,1964,Vardal (Sørligrenda)
529,529,1964,Vestre Toten
530,529,1964,Eina
534,529,1964,Gran
515,517,1964,Vågå
516,517,1965,Heidal
517,517,1965,Sel
518,518,1966,Nord-Fron
519,518,1966,Sør-Fron
540,541,1894,Sør-Aurdal
542,541,1894,Nord-Aurdal
613,601,1852,Norderhov(Norderhoug)
613,613,1852,Norderhov(Norderhoug)
613,613,1857,Norderhov(Norderhoug)
613,614,1857,Norderhov(Norderhoug)
632,632,1858,Rollag
632,633,1858,Rollag
619,619,1877,Ål
619,620,1877,Ål
624,624,1885,Eiker
624,625,1885,Eiker
617,617,1897,Gol
617,618,1897,Gol
621,621,1901,Sigdal
621,622,1901,Sigdal
633,633,1901,Nore
633,634,1901,Nore
616,615,1905,Nes
616,616,1905,Nes
629,629,1908,Sandsvær
629,630,1908,Sandsvær
612,611,1916,Hole
612,612,1916,Hole
680,711,1838,Strømm
601,605,1977,Ringerike
601,612,1977,Ringerike
680,711,1838,Strømm
711,711,1838,Svelvik
681,712,1843,Strømsgodset
712,712,1843,Skoger
633,633,1962,Nore
634,633,1962,Uvdal
601,601,1964,Hønefoss
611,601,1964,Tyristrand
613,601,1964,Norderhov
614,601,1964,Ådal
622,601,1964,Krødsherad
604,604,1964,Kongsberg
629,604,1964,Ytre Sandsvær
630,604,1964,Øvre Sandsvær
602,602,1964,Drammen
712,602,1964,Skoger
634,634,1932,Opdal
711,701,1845,Strømm
711,711,1845,Strømm
717,703,1858,Borre
717,717,1858,Borre
702,702,1964,Holmestrand
715,702,1964,Botne
701,711,1964,Svelvik
711,711,1964,Strømm
704,717,1965,Åsgårdstrand
717,717,1965,Borre
721,717,1965,Sem(Stang)
706,706,1968,Sandefjord
724,706,1968,Sandar
707,709,3214,Larvik
708,709,3214,Stavern
725,709,3214,Tjølling
726,709,3214,Brunlanes
727,709,3214,Hedrum
705,704,3214,Tønsberg
721,704,3214,Sem
703,701,3214,Horten
717,701,3214,Borre
701,701,2002,Borre
716,716,2002,Våle
718,716,2002,Ramnes
706,710,2017,Sandefjord
719,710,2017,Andebu
720,710,2017,Stokke
798,708,1943,Stavern
821,820,1867,Bø
821,821,1867,Bø
0.0824,824,1886,Gransherad
0.0824,825,1886,Gransherad
816,815,1882,Sannidal
816,816,1882,Sannidal
823,807,1913,Heddal
823,823,1913,Heddal
801,815,1960,Kragerø
815,815,1960,Skåtøy
816,815,1960,Sannidal
726,805,1964,Brunlanes
727,805,1964,Hedrum
804,805,1964,Brevik
805,805,1964,Porsgrunn
813,805,1964,Eidanger
806,806,1964,Skien
812,806,1964,Gjerpen
818,806,1964,Solum
819,806,1964,Holla (Valebø krets)
807,807,1964,Notodden
823,807,1964,Heddal
824,807,1964,Gransherad
825,807,1964,Hovin(Rudsgrend)
802,814,1964,Langesund
803,814,1964,Stathelle
814,814,1964,Bamble
819,819,1964,Holla(unntatt Valebø krets)
820,819,1964,Lunde
825,826,1964,Hovin(unntatt Rudsgrend)
826,826,1964,Tinn
832,833,1964,Mo
833,833,1964,Lårdal
834,834,1964,Vinje
835,834,1964,Rauland
834,835,1860,Vinje(Rauland sogn)
833,835,1860,"Tokke(Lårdal,Øyfjell sogn)"
826,824,1860,Tinn(Hovin sogn)
827,824,1860,Hjartdal (Gransherad sogn
920,920,1846,Øyestad
920,923,1846,Øyestad
920,919,1850,Øyestad
920,920,1850,Øyestad
926,926,1865,Vestre Moland
926,927,1865,Vestre Moland
929,929,1876,Åmli
929,932,1876,Åmli
934,934,1877,Evje og Vegusdal
934,937,1877,Evje og Vegusdal
918,918,1878,Austre Moland
918,990,1878,Austre Moland
918,921,1878,Austre Moland
920,920,1881,Øyestad
920,922,1881,Øyestad
935,935,1886,Hornnes og Iveland
935,936,1886,Hornnes og Iveland
915,915,1902,Dypvåg
915,916,1902,Dypvåg
940,940,1902,Valle
940,941,1902,Valle
929,929,1908,Åmli
929,930,1908,Åmli
929,931,1908,Åmli
940,939,1915,Valle
940,940,1915,Valle
918,917,1919,Austre Moland
918,918,1919,Austre Moland
903,903,1902,Arendal
990,903,1902,Barbu
902,914,1960,Tvedestrand
914,914,1960,Holt
915,914,1960,Dypvåg
929,929,1960,Åmli
930,929,1960,Gjøvdal
936,937,1960,Hornnes
937,937,1960,Evje
914,918,1962,Tvedestrand
916,918,1962,Flosta
917,918,1962,Stokken
918,918,1962,Austre Moland
920,924,1962,Øyestad
924,924,1962,Landvik
925,924,1962,Eide
905,926,1962,Lillesand
925,926,1962,Eide
926,926,1962,Vestre Moland
927,926,1962,Høvåg
939,940,1962,Hylestad
940,940,1962,Valle
901,901,1964,Risør
913,901,1964,Søndeled
919,919,1967,Froland
932,919,1967,Mykland
928,928,1967,Birkenes
933,928,1967,Herefoss
934,928,1967,Vegusdal
929,929,1967,Åmli
931,929,1967,Tovdal
904,904,1971,Grimstad
923,904,1971,Fjære
924,904,1971,Landvik
903,906,3360,Arendal
918,906,3360,Moland
920,906,3360,Øyestad
921,906,3360,Tromøy
922,906,3360,Hisøy
1027,1027,1845,Undal
1027,1029,1845,Undal
1045,1045,1849,Bakke
1045,1046,1849,Bakke
1037,1036,1858,Kvinesdal
1037,1037,1858,Kvinesdal
1002,1002,1864,Mandal
1002,1019,1864,Mandal
1016,1014,1865,Øvrebø
1016,1016,1865,Øvrebø
1042,1042,1893,Nes og Hidra
1042,1043,1893,Nes og Hidra
1039,1039,1893,Herad
1039,1040,1893,Herad
1012,1011,1893,Oddernes
1012,1012,1893,Oddernes
1045,1044,1893,Bakke
1045,1045,1893,Bakke
1016,1015,1896,Øvrebø og Hægeland
1016,1016,1896,Øvrebø og Hægeland
1029,1029,1899,Sør-Undal
1029,1030,1899,Sør-Undal
1021,1021,1899,Øyslebø og Laudal
1021,1022,1899,Øyslebø og Laudal
1037,1037,1900,Kvinesdal
1037,1038,1900,Kvinesdal
1024,1024,1902,Bjelland og Grindheim
1024,1025,1902,Bjelland og Grindheim
1046,1046,1905,Sirdal
1046,1047,1905,Sirdal
1032,1031,1909,Lyngdal
1032,1032,1909,Lyngdal
1032,1033,1909,Lyngdal
1027,1027,1911,Nord-Audnedal
1018,1018,1913,Søgne
1018,1017,1913,Søgne
1034,1034,1916,Hægebostad
1034,1035,1916,Hægebostad
1036,1037,1841,Fjotland
1037,1037,1841,Kvinesdal
1045,1046,1960,Bakke
1046,1046,1960,Tonstad
1047,1046,1960,Øvre Sirdal
1030,1032,1963,Spangereid
1031,1032,1963,Austad
1032,1032,1963,Lyngdal
1033,1032,1963,Kvås
1034,1034,1963,Hægebostad
1035,1034,1963,Eiken
1036,1037,1963,Fjotland
1037,1037,1963,Kvinesdal
1038,1037,1963,Feda
1002,1002,1964,Mandal
1019,1002,1964,Halse og Harkmark
1020,1002,1964,Holum
1014,1014,1964,Vennelsa
1015,1014,1964,Hægeland
1016,1014,1964,Øvrebø
1017,1017,1964,Greipstad
1023,1017,1964,Finsland
1021,1021,1964,Øyslebø
1022,1021,1964,Laudal
1023,1021,1964,Finsland
1024,1021,1964,Bjelland
1024,,1964,Bjelland
1025,1027,1964,Grindheim
1027,1027,1964,Konsmo
1028,1029,1964,Vigmostad
1029,1029,1964,Sør-Audnedal
1030,1029,1964,Spangereid
1001,1001,1965,Kristiansand
1011,1001,1965,Randesund
1012,1001,1965,Oddernes
1013,1001,1965,Tveit
1003,1003,1965,Farsund
1039,1003,1965,Herad
1040,1003,1965,Herad
1041,1003,1965,Lista
1004,1004,1965,Flekkefjord
1042,1004,1965,Hidra
1043,1004,1965,Nes
1044,1004,1965,Gyland
1045,1004,1965,Bakke
1116,1116,1839,Eigersund
1116,1117,1839,Eigersund
1134,1134,1842,Suldal
1134,1135,1842,Suldal
1111,1107,1845,Sokndal
1111,1107,1845,Sokndal
