municipality_number,navn,historiske_navn,historisk_detaljer,year_created,year_stopped
101,Fredrikshald,Halden,1600-tallet,1800,2020
101,Halden,Friderichshald,til 1801,1800,2020
101,Halden,Frederikshald,til 1865,1800,2020
101,Halden,Fredrikshald,til 1.1.1928,1800,2020
102,Sarpsborg,Burgus,ca 1130,1800,2020
102,Sarpsborg,Borg(ar),til 1200-tallet,1800,2020
102,Sarpsborg,Gammelby,1567–1839,1800,2020
102,Sarpsborg,Gleng,1600-tallet,1800,2020
103,Fredrikstad,Salsborg,1568,1800,2020
103,Fredrikstad,Frederichstadtz; tidligere Sarpsborig,1591,1800,2020
103,Fredrikstad,Friderichstad,1769,1800,2020
103,Fredrikstad,Frederichstad,1801,1800,2020
103,Fredrikstad,Frederik(s)stad,til 1865,1800,2020
103,Fredrikstad,Fredriksstad,1875,1800,2020
104,Moss,Mors,norrønt,1800,2020
104,Moss,Moeẞ,1602,1800,2020
104,Moss,Mosse,1801,1800,2020
105,Sarpsborg,Mosse,1801,1800,2020
106,Fredrikstad,Mosse,1801,1800,2020
111,Hvaler,Hvalír,norrønt,1800,2020
111,Hvaler,Hvaløer,1801,1800,2020
111,Hvaler,Hvaløerne,til 1889,1800,2020
112,Torsnes,Þórsnœs,norrønt,1800,2020
112,Torsnes,Thorsnæs,1801,1800,2020
113,Borge,"Ámorð, Borgar",norrønt,1800,2020
114,Varteig,"Hjœjandi, Varteigr",norrønt,1800,2020
114,Varteig,Warte,1769,1800,2020
114,Varteig,Warthøy,1801,1800,2020
115,Skjeberg,"Ingradalr, Ullareyjar, Védalr, Skjálberg",norrønt,1800,2020
115,Skjeberg,Skjaberg,1700-tallet,1800,2020
115,Skjeberg,Skieberg,til 1840,1800,2020
115,Skjeberg,Skeberg,1865,1800,2020
116,Berg,"Ásakar, Roðkar, Berg",norrønt,1800,2020
116,Berg,Nordre Friderichshald,til 1769,1800,2020
116,Berg,Bergs Landdistrikt,1855,1800,2020
117,Idd,"Ønyndardalr, Iddar",norrønt,1800,2020
117,Idd,Søndre Friderichshald,til 1769,1800,2020
117,Idd,Idde,til 1840,1800,2020
117,Idd,Ids Landdistrikt,1855,1800,2020
117,Idd,Id,til 1917,1800,2020
118,Aremark,Aramǫrk,norrønt,1800,2020
118,Aremark,Ørsmark,til 1600-tallet,1800,2020
118,Aremark,Ahremarch,1801,1800,2020
119,Øymark,"Eyjamarkar, Øyjamǫrk",norrønt,1800,2020
119,Øymark,Oddemark,1769,1800,2020
119,Øymark,Ødemarch,1801,1800,2020
119,Øymark,Ømark,til 1917,1800,2020
119,Marker,Markír,norrønt,1800,2020
120,Rødenes,"Aursmǫrk, Rœðanes",norrønt,1800,2020
120,Rødenes,Rødenæs,til 1884,1800,2020
121,Rømskog,Rýmsskógr,norrønt,1800,2020
121,Rømskog,Rømschougen,til 1801,1800,2020
121,Rømskog,Rømskogen,til 1917,1800,2020
122,Trøgstad,"Boðstaða, Þrykstaðir",norrønt,1800,2020
122,Trøgstad,Thrygstad,til 1865,1800,2020
122,Trøgstad,Trygstad,til 1884,1800,2020
123,Spydeberg,"Helinar, Hofinar, Vímar, Spjótaberg",norrønt,1800,2020
123,Spydeberg,Spjoteberg,1700-tallet,1800,2020
124,Askim,"Fróylǫnd, Askeimr",norrønt,1800,2020
124,Askim,Aschim,1801,1800,2020
125,Eidsberg,"Hœruland, Treginsborg, Heggin, Eiðsberg",norrønt,1800,2020
125,Eidsberg,Edsberg,1801,1800,2020
126,Mysen,Mysin,norrønt,1800,2020
127,Skiptvet,"Vímar, Skygþveit",norrønt,1800,2020
127,Skiptvet,Skygthveit,1700-tallet,1800,2020
127,Skiptvet,Skibtved,til 1840,1800,2020
127,Skiptvet,Skiptvedt,1865,1800,2020
127,Skiptvet,Skibtvet,til 1884,1800,2020
128,Rakkestad,"Óss, Skaun, Rakkastaðir",norrønt,1800,2020
128,Rakkestad,Rachestad,1801,1800,2020
129,Degernes,Digranes,norrønt,1800,2020
129,Degernes,Degernæs,1769,1800,2020
129,Degernes,Deignæs,1801,1800,2020
130,Tune,Túnir,norrønt,1800,2020
130,Tune,Thunøe,til 1840,1800,2020
130,Tune,Tune Landdistrikt,1855,1800,2020
131,Rolvsøy,Hrólfsey,norrønt,1800,2020
131,Rolvsøy,Rolvsøe,til 1911,1800,2020
132,Glemmen,Glymeimar,norrønt,1800,2020
132,Glemmen,Glemming,1801,1800,2020
132,Glemmen,Fred(e)rikstad Landdistrikt,til 1875,1800,2020
132,Glemmen,Glemminge,til 1917,1800,2020
133,Kråkerøy,Krákrey,norrønt,1800,2020
133,Kråkerøy,Kragerøen,til 1917,1800,2020
133,Kråkerøy,Kraakerøy,til 1918,1800,2020
134,Onsøy,Óðinsey,norrønt,1800,2020
134,Onsøy,Odinsø,1700-tallet,1800,2020
134,Onsøy,Onsøe,til 1801,1800,2020
134,Onsøy,Onsø,til 1917,1800,2020
135,Råde,"Tesalr, Róða",norrønt,1800,2020
135,Råde,Rode,1700-tallet,1800,2020
135,Råde,Raade,til 1918,1800,2020
136,Rygge,"Vǫrn, Varna, Ryggi(h)of",norrønt,1800,2020
136,Rygge,Ryggihof,1700-tallet,1800,2020
137,Våler,"Svindalr, Válir",norrønt,1800,2020
137,Våler,Waaler,til 1801,1800,2020
137,Våler,Vaaler,til 1918,1800,2020
138,Hobøl,"Tómtir, Morsardalr, Hóbœli",norrønt,1800,2020
138,Hobøl,Mossedale,til 1700-tallet,1800,2020
138,Hobøl,Hobøle,til 1700-tallet,1800,2020
138,Hobøl,Haabel,til 1840,1800,2020
138,Hobøl,Haabøl,til 1889,1800,2020
0194,Jeløy,Jǫlund,norrønt,1800,2020
0194,Jeløy,Gjel-Øen,1832,1800,2020
0194,Jeløy,Mosse Landsogn,1865,1800,2020
0194,Jeløy,Moss Landdistrikt,1875,1800,2020
0194,Jeløy,Moss,til 27.6.1919,1800,2020
201,Son◎,Zoon/Zoen,1600-tallet,1800,2020
201,Son◎,Soon,til 1891,1800,2020
202,Hvitsten◎,Kvitastein,norrønt,1800,2020
202,Hvitsten◎,Wiidsteen,1801,1800,2020
202,Hvitsten◎,Hvidsteen,1855,1800,2020
