from,to,year,tidligere_kommunenavn
103,102,1839,Fredrikstad
103,103,1839,Fredrikstad
1116,1116,1839,Eigersund
1116,1117,1839,Eigersund
1636,1635,1839,Meldal
1636,1636,1839,Meldal
2001,2001,1839,Hammerfest by og landsogn
2001,2018,1839,Hammerfest by og landsogn
130,102,1840,Tune
130,130,1840,Tune
1833,1832,1840,Ranen
1833,1833,1840,Ranen
1036,1037,1841,Fjotland
1037,1037,1841,Kvinesdal
1645,1645,1841,Holtaalen
1645,1646,1841,Holtaalen
1648,1648,1841,Støren
1648,1649,1841,Støren
1648,1650,1841,Støren
1130,1128,1842,Strand
1130,1130,1842,Strand
1134,1134,1842,Suldal
1134,1135,1842,Suldal
1866,1866,1842,Hadsel
1866,1870,1842,Hadsel
681,712,1843,Strømsgodset
712,712,1843,Skoger
1447,1447,1843,Innvik
1447,1448,1843,Innvik
1027,1027,1845,Undal
1027,1029,1845,Undal
1111,1107,1845,Sokndal
1111,1111,1845,Sokndal
1226,1226,1845,Strandebarm og Varaldsø
1226,1227,1845,Strandebarm og Varaldsø
711,701,1846,Svelvik
711,711,1846,Svelvik
920,920,1846,Øyestad
920,923,1846,Øyestad
1744,1744,1846,Overhalden
1745,1744,1846,Sævik
536,536,1847,Land
536,538,1847,Land
2003,2003,1847,Vadsø
2022,2022,1847,Lebesby
2003,2027,1847,Vadsø
2022,2027,1847,Lebesby
201,201,1848,Soon og Hølen
201,204,1848,Soon og Hølen
2031,2024,1848,Lenvik
2031,2031,1848,Lenvik
424,424,1849,Hof (Hedmark)
424,425,1849,Hof (Hedmark)
1045,1045,1849,Bakke
1045,1046,1849,Bakke
1150,1145,1849,Skudenes
1154,1146,1849,Skjold
1150,1150,1849,Skudenes
1154,1154,1849,Skjold
1531,1529,1849,Borgund (Møre og Romsdal)
1531,1531,1849,Borgund (Møre og Romsdal)
414,401,1850,Vang (Hedmark)
414,414,1850,Vang (Hedmark)
543,543,1850,Slidre
543,544,1850,Slidre
920,919,1850,Øyestad
920,920,1850,Øyestad
1411,1411,1850,Evenvik
1411,1414,1850,Evenvik
1419,1418,1850,Leikanger
1419,1419,1850,Leikanger
1714,1711,1850,Stjørdalen
1714,1714,1850,Stjørdalen
518,518,1851,Fron
518,519,1851,Fron
2020,2011,1851,Kistrand
2020,2020,1851,Kistrand
814,803,1852,Bamble
814,814,1852,Bamble
1780,1811,1852,Sørbindalen
1811,1811,1852,Nordbindalen
2001,2001,1852,Hammerfest by og landsogn
2001,2016,1852,Hammerfest by og landsogn
613,601,1853,Norderhov
613,613,1853,Norderhov
1621,1621,1853,Ørland
1621,1627,1853,Ørland
1838,1838,1853,Gildeskål
1838,1839,1853,Gildeskål
2014,2014,1853,Loppa
2014,2015,1853,Loppa
425,425,1854,Åsnes og Våler
425,426,1854,Åsnes og Våler
1563,1561,1854,Sunndal
1563,1563,1854,Sunndal
2039,2037,1854,Ibestad
2039,2039,1854,Ibestad
1645,1644,1855,Holtaalen
1645,1645,1855,Holtaalen
1655,1655,1855,Byneset
1655,1656,1855,Byneset
2031,2031,1855,Lenvik
2031,2032,1855,Lenvik
421,402,1856,Vinger
421,421,1856,Vinger
1152,1106,1856,Torvastad
1152,1152,1856,Torvastad
1243,1241,1856,Os (Hordaland)
1243,1243,1856,Os (Hordaland)
1719,1719,1856,Skogn
1719,1720,1856,Skogn
1865,1864,1856,Vågan
1865,1865,1856,Vågan
613,613,1857,Norderhov
613,614,1857,Norderhov
632,632,1858,Rollag
632,633,1858,Rollag
717,703,1858,Borre
717,717,1858,Borre
1037,1036,1858,Kvinesdal
1037,1037,1858,Kvinesdal
1411,1411,1858,Evenvik
1411,1412,1858,Evenvik
1415,1415,1858,Lavik
1415,1416,1858,Lavik
1566,1566,1858,Surnadal
1566,1567,1858,Surnadal
2003,2003,1858,Vadsø
2027,2003,1858,Nesseby
1150,1104,1859,Skudenes
1133,1131,1859,Hjelmeland og Fister
1133,1133,1859,Hjelmeland og Fister
1138,1136,1859,Jelsa
1138,1138,1859,Jelsa
1150,1150,1859,Skudenes
1233,1233,1859,Graven
1734,1702,1859,Stod
1734,1734,1859,Stod
2003,2003,1859,Vadsø
2003,2030,1859,Vadsø
826,824,1860,Tinn
827,824,1860,Hjartdal
826,826,1860,Tinn
827,827,1860,Hjartdal
833,833,1860,Lårdal
834,834,1860,Vinje (Telemark)
833,835,1860,Lårdal
834,835,1860,Vinje (Telemark)
