tettstednummer,tettstednavn,KNR,FNR,KOMMNR,KNAVN
3511,Arendal,0903,09,903,Arendal
2531,Sandefjord,0706,07,706,Sandefjord
584,Løken,0222,02,222,Nordre Høland
2045,Sundvollen,0612,06,612,Hole
5007,Arna,1250,12,1250,Haus
1645,Raufoss,0529,05,529,Vestre Toten
5333,Torsteinsvik,1258,12,1258,Herdla
6231,Aukra,1547,15,1547,Nord-Aukra
6669,Børsa,1658,16,1658,Børsa
8121,Finnsnes,1931,19,1931,Lenvik
4013,Sånum,1019,10,1019,Halse og Harkmark
4011,Mandal,1002,10,1002,Mandal
4063,Ausvika,1018,10,1018,Søgne
4083,Svennevik,1030,10,1030,Spangereid
4081,Høllen,1030,10,1030,Spangereid
4061,Søgne,1018,10,1018,Søgne
4012,Krossen,1020,10,1020,Holum
4082,Vigeland,1029,10,1029,Sør-Audnedal
4052,Volleberg,1017,10,1017,Greipstad
4054,Brennåsen,1017,10,1017,Greipstad
3572,Høvåg,0927,09,927,Høvåg
4092,Skomrak,1031,10,1031,Austad
4021,Farsund,1003,10,1003,Farsund
4093,Svenevik,1032,10,1032,Lyngdal
4022,Vanse,1041,10,1041,Lista
4009,Korsvik,1011,10,1011,Randesund
4023,Vestbygda,1041,10,1041,Lista
4071,Øyslebø,1021,10,1021,Øyslebø
4002,Kristiansand,1001,10,1001,Kristiansand
4094,Årnes,1032,10,1032,Lyngdal
4042,Vennesla,1014,10,1014,Vennesla
4091,Lyngdal,1032,10,1032,Lyngdal
4007,Tveit,1013,10,1013,Tveit
3524,Jortveit,0925,09,925,Eide
3571,Lillesand,0905,09,905,Lillesand
4043,Slettebrotane,1016,10,1016,Øvrebø
4041,Skarpengland,1016,10,1016,Øvrebø
3581,Birkeland,0928,09,928,Birkenes
3523,Grimstad,0924,09,924,Landvik
4131,Helle,1027,10,1027,Konsmo
4101,Feda,1038,10,1038,Feda
3561,Rykene,0920,09,920,Øyestad
4102,Liknes,1037,10,1037,Liknes
4031,Flekkefjord,1004,10,1004,Flekkefjord
4044,Hægeland,1015,10,1015,Hægeland
4541,Hauge,1111,11,1111,Sokndal
3512,Longum,0918,09,918,Austre Moland
3551,Blakstad,0919,09,919,Froland
4032,Sira,1045,10,1045,Bakke
3541,Kilsund,0916,09,916,Flosta
4551,Moi,1112,11,1112,Lund
3531,Tvedestrand,0902,09,902,Tvedestrand
4501,Egersund,1101,11,1101,Egersund
3603,Evje,0936,09,936,Hornnes
4502,Hellvik,1116,11,1116,Eigersund
4575,Sirevåg,1117,11,1117,Ogna
4576,Ogna,1117,11,1117,Ogna
3501,Risør,0901,09,901,Risør
3612,Byglandsfjord,0936,09,936,Hornnes
4574,Brusand,1117,11,1117,Ogna
4577,Hæen,1118,11,1118,Varhaug
3661,Myra,0912,09,912,Vegårshei
4573,Vigrestad,1118,11,1118,Varhaug
4111,Tonstad,1046,10,1046,Tonstad
3591,Åmli,0929,09,929,Åmli
3652,Eikeland,0911,09,911,Gjerstad
4561,Vikeså,1114,11,1114,Bjerkreim
4572,Varhaug,1118,11,1118,Varhaug
3054,Kragerø,0801,08,801,Kragerø
4571,Nærbø,1119,11,1119,Nærbø
4593,Undheim,1121,11,1121,Time
3651,Gjerstad,0911,09,911,Gjerstad
3051,Kil,0816,08,816,Sannidal
3055,Vadfoss/Helle,0816,08,816,Sannidal
4578,Nærland,1119,11,1119,Nærbø
4583,Pollestad,1120,11,1120,Klepp
4594,Lyefjell,1121,11,1121,Time
4591,Bryne,1120,11,1120,Klepp
41,Skjærhalden,0111,01,111,Hvaler
2674,Helgeroa/Nevlunghamn,0726,07,726,Brunlanes
